Luminosity Table
13 --> [189.807505839, 190.327436232, 190.884183778, 191.265657447, 193.570463581, 190.195201623, 190.748216272, 192.527850393, 191.085269093, 191.903647255, 193.503706151, 189.525322429]
14 --> [197.455318068, 194.307151498, 195.941845116, 213.877027033, 196.024356821, 193.687675247, 196.023423319, 194.125522581, 196.017397069, 198.353665684, 196.701571118, 196.398161996]
15 --> [193.607757, 190.897735685, 190.596650729, 190.01263249, 204.909060246, 190.378339227, 195.770803637, 189.781661836, 188.129106581, 193.875675873, 184.650492312, 188.117670987]
16 --> [161.262315064, 94.9080357731, 102.048363608, 96.4209471979, 172.213603633, 124.219139694, 129.713984475, 159.502289571, 162.294290507, 94.5661134549, 181.209764159, 144.356517972]
17 --> [138.04122073, 126.733659509, 96.1040781279, 83.25977361, 107.981681699, 124.291084012, 81.2729439937, 188.300588167, 148.08981723, 128.137290113, 76.8600390255, 130.782582785]
18 --> [63.0334814774, 60.2006609259, 101.110564389, 65.0141968571, 62.3003901991, 59.1409826106, 76.5314205145, 137.945046946, 94.6390438027, 120.405502378, 127.401344609, 58.569835184]
19 --> [29.4891128924, 0.0, 77.5888743912, 1.65555555556, 57.9498296371, 88.4370935648, 64.7266109878, 59.931231544, 0.393156329861, 57.3973548032, 60.0553499416, 4.13888888889]
20 --> [0.0, 0.007580375, 0.00578409722222, 0.00520051388889, 0.0, 0.0, 1.26255787037, 6.20833333333, 0.0, 1.03472222222, 2.06944444444, 0.0]
21 --> [0.0, 2.69027777778, 0.0, 3.725, 0.0]

Temperature Table
13 --> [30.812, 30.687, 30.5, 30.437, 30.312, 30.187, 30.062, 30.062, 30.062, 30.062, 30.437, 30.812]
14 --> [30.937, 31.562, 31.75, 32.0, 32.062, 32.062, 31.937, 31.75, 32.062, 32.375, 32.5, 32.625]
15 --> [32.625, 33.0, 33.125, 33.125, 32.812, 32.687, 32.687, 32.187, 32.062, 31.937, 32.062, 31.937]
16 --> [32.0, 31.812, 31.75, 31.75, 31.75, 31.687, 32.0, 32.0, 31.875, 31.625, 31.562, 31.25]
17 --> [31.25, 31.25, 31.25, 31.25, 31.187, 31.0, 30.75, 30.75, 30.812, 30.687, 30.687, 30.75]
18 --> [30.75, 30.812, 30.625, 30.625, 30.437, 30.375, 30.25, 30.062, 30.062, 29.437, 29.062, 28.812]
19 --> [28.625, 28.375, 28.125, 27.875, 27.687, 27.437, 27.187, 26.937, 26.687, 26.25, 25.937, 25.625]
20 --> [25.5, 25.25, 24.937, 24.937, 24.375, 24.312, 24.062, 23.937, 23.812, 23.75, 23.75, 23.937]
21 --> [24.125, 23.937, 23.937, 23.5, 18.187]

Luminosity Averages
13 --> 191.278705008
14 --> 197.409426296
15 --> 191.727298884
16 --> 135.226280426
17 --> 119.15456325
18 --> 85.5243724911
19 --> 41.8135882114
20 --> 0.882801904706
21 --> 1.28305555556

Temperature Averages
13 --> 30.3693333333
14 --> 31.9685
15 --> 32.5205
16 --> 31.7550833333
17 --> 30.9685833333
18 --> 30.1090833333
19 --> 27.2289166667
20 --> 24.3799166667
21 --> 22.7372
